series,name,page_url,image_url,output_path,top_folder,collection_folder
Advent Calendar(2025),Candy,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Candy.png,sonny_png_library_web/limited/christmas-collections/advent-calendar-2025/06__candy.png,limited,christmas-collections
Advent Calendar(2025),Carrot,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Carrot.png,sonny_png_library_web/limited/christmas-collections/advent-calendar-2025/07__carrot.png,limited,christmas-collections
Advent Calendar(2025),Fawn,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Fawn.png,sonny_png_library_web/limited/christmas-collections/advent-calendar-2025/08__fawn.png,limited,christmas-collections
Advent Calendar(2025),French Bulldog,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/French-Bulldog.png,sonny_png_library_web/limited/christmas-collections/advent-calendar-2025/09__french-bulldog.png,limited,christmas-collections
Advent Calendar(2025),Lion,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Lion.png,sonny_png_library_web/limited/christmas-collections/advent-calendar-2025/02__lion.png,limited,christmas-collections
Advent Calendar(2025),Penguin,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Penguin.png,sonny_png_library_web/limited/christmas-collections/advent-calendar-2025/03__penguin.png,limited,christmas-collections
Advent Calendar(2025),Rabbit,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Rabbit.png,sonny_png_library_web/limited/christmas-collections/advent-calendar-2025/01__rabbit.png,limited,christmas-collections
Advent Calendar(2025),Reindeer,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Reindeer.png,sonny_png_library_web/limited/christmas-collections/advent-calendar-2025/10__reindeer.png,limited,christmas-collections
Advent Calendar(2025),Rose,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Rose.png,sonny_png_library_web/limited/christmas-collections/advent-calendar-2025/05__rose.png,limited,christmas-collections
Advent Calendar(2025),Starfish,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Starfish.png,sonny_png_library_web/limited/christmas-collections/advent-calendar-2025/04__starfish.png,limited,christmas-collections
Advent Calendar(2025),Sunflower,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Sunflower.png,sonny_png_library_web/limited/christmas-collections/advent-calendar-2025/11__sunflower.png,limited,christmas-collections
Cherry Blossom Series -Hanami Edition-,Calico Cat,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/02/05_Calico_Cat_x200.png,sonny_png_library_web/limited/cherry-blossom-collections/cherry-blossom-series-hanami-edition/05__calico-cat.png,limited,cherry-blossom-collections
Cherry Blossom Series -Hanami Edition-,Fawn,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/02/02_Fawn_x200.png,sonny_png_library_web/limited/cherry-blossom-collections/cherry-blossom-series-hanami-edition/02__fawn.png,limited,cherry-blossom-collections
Cherry Blossom Series -Hanami Edition-,Goat,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/02/05_Goat_x200.png,sonny_png_library_web/limited/cherry-blossom-collections/cherry-blossom-series-hanami-edition/06__goat.png,limited,cherry-blossom-collections
Cherry Blossom Series -Hanami Edition-,Parrot,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/02/04_Parrot_x200.png,sonny_png_library_web/limited/cherry-blossom-collections/cherry-blossom-series-hanami-edition/04__parrot.png,limited,cherry-blossom-collections
Cherry Blossom Series -Hanami Edition-,Rabbit,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/02/01_Rabbit_x200.png,sonny_png_library_web/limited/cherry-blossom-collections/cherry-blossom-series-hanami-edition/01__rabbit.png,limited,cherry-blossom-collections
Cherry Blossom Series -Hanami Edition-,Sheep,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/02/03_Sheep_x200.png,sonny_png_library_web/limited/cherry-blossom-collections/cherry-blossom-series-hanami-edition/03__sheep.png,limited,cherry-blossom-collections
Fruit Series,DragonFruit,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2019/08/DragonFruit.png,sonny_png_library_web/regulars/fruit-collections/fruit-series/10__dragonfruit.png,regulars,fruit-collections
Fruit Series,Durian,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2019/08/Durian.png,sonny_png_library_web/regulars/fruit-collections/fruit-series/09__durian.png,regulars,fruit-collections
Fruit Series,Orange,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2019/08/Orange.png,sonny_png_library_web/regulars/fruit-collections/fruit-series/03__orange.png,regulars,fruit-collections
Fruit Series,Raspberry,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2019/08/Raspberry.png,sonny_png_library_web/regulars/fruit-collections/fruit-series/01__raspberry.png,regulars,fruit-collections
HIPPERS Cherry Blossom Series,Cat,https://www.sonnyangel.com/products/mini-figure-hippers/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/02/hippers_cherryblossom_banner_web_product-12.png,sonny_png_library_web/regulars/hippers-collections/hippers-cherry-blossom-series/12__cat.png,regulars,hippers-collections
HIPPERS Cherry Blossom Series,Dalmatian,https://www.sonnyangel.com/products/mini-figure-hippers/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/02/hippers_cherryblossom_banner_web_product-02.png,sonny_png_library_web/regulars/hippers-collections/hippers-cherry-blossom-series/02__dalmatian.png,regulars,hippers-collections
HIPPERS Cherry Blossom Series,Duck,https://www.sonnyangel.com/products/mini-figure-hippers/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/02/hippers_cherryblossom_banner_web_product-07.png,sonny_png_library_web/regulars/hippers-collections/hippers-cherry-blossom-series/07__duck.png,regulars,hippers-collections
HIPPERS Cherry Blossom Series,Fawn,https://www.sonnyangel.com/products/mini-figure-hippers/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/02/hippers_cherryblossom_banner_web_product-01.png,sonny_png_library_web/regulars/hippers-collections/hippers-cherry-blossom-series/01__fawn.png,regulars,hippers-collections
HIPPERS Cherry Blossom Series,Frog,https://www.sonnyangel.com/products/mini-figure-hippers/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/02/hippers_cherryblossom_banner_web_product-09.png,sonny_png_library_web/regulars/hippers-collections/hippers-cherry-blossom-series/09__frog.png,regulars,hippers-collections
HIPPERS Cherry Blossom Series,Goat,https://www.sonnyangel.com/products/mini-figure-hippers/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/02/hippers_cherryblossom_banner_web_product-11.png,sonny_png_library_web/regulars/hippers-collections/hippers-cherry-blossom-series/11__goat.png,regulars,hippers-collections
